Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Time_TP,
13,15.91781391,Si1,1.011841025,PU,1.487143196,2.297736468,1,429.2378306,586.9607518,-0.000388795,0.042378682,1394.337679,218.000002,105.4,218.000002,
14,13.88886555,Si1,1.063220778,PU,1.221172473,2.390887041,0,402.9382899,283.7204132,-0.000338072,0.055133812,1159.231353,217.5,88.7,225.000002,
15,11.92889038,Si1,0.508914899,Si1,2.825672635,2.335557432,0,386.8344467,284.8641923,-0.001445361,0.055211864,1086.599792,210.1,86.3,217.000002,
16,9.947937043,Si1,0.950297145,PU,2.605597265,2.499295118,0,351.2997175,283.6955162,-0.00167684,0.055298078,920.7992875,188.1,79.7,193.000002,
17,10.51798946,Si1,0.633034605,Si1,2.356952197,2.41433724,1,367.7269572,846.6896198,0.0002538,0.042892158,993.2576964,168.000002,81.5,168.000002,
18,15.92794197,Si1,0.76499303,PU,2.776086256,1.264972196,1,427.706501,527.2850338,0.004279534,0.043184384,1366.430377,215.000002,102,215.000002,
19,8.453771432,Si1,0.267029032,Si1,1.130929037,2.458920092,1,571.6320645,924.7591082,0.000202194,-0.001010971,1005.080984,69.000002,62.3,69.000002,
20,10.64317512,Si1,1.909594844,PU,2.913207073,2.252177508,0,297.1490543,247.3780096,0.001284648,0.055241457,754.9796054,228.7,85.3,236.000002,
1,14.21933944,Si1,0.875633405,PU,2.3212883,1.337880073,0,406.6639306,284.9036331,0.002424335,0.055110347,1236.570623,220.4,96,227.000002,Itr_7
2,11.93183212,Si1,1.006523977,Si1,1.143881413,0.765553126,1,368.946216,631.2719881,0.030938601,0.039612975,1009.323498,174.000002,83.5,174.000002,
3,14.39737002,Si1,0.89782747,PU,2.363695935,1.896521777,0,410.0197733,284.703596,-0.00245549,0.055111172,1246.186736,232,96.9,239.000002,
4,13.79137828,Si1,0.867009323,PU,2.310608367,1.802432988,1,405.7581029,642.9795252,-0.022487512,0.033899085,1209.964598,212.000002,94.2,212.000002,
5,12.03898746,Si1,0.754280327,PU,2.772834887,2.250599915,0,388.1045211,284.7400396,0.000291825,0.055181519,1097.874245,207.8,85.8,214.000002,
6,11.56041398,Si1,0.69266827,Si1,2.195672803,1.106434328,1,372.0061876,608.3371501,-0.03218394,0.037221427,1038.419759,184.000002,86.4,184.000002,
7,14.13339081,Si1,0.942071431,PU,1.762460684,0.928391392,1,403.2674068,523.2339229,0.004474402,0.041646355,1265.62982,188.000002,94.8,188.000002,
8,11.82824913,Si1,0.715932096,Si1,2.027735243,1.199766475,0,377.4340386,284.9887206,0.002579006,0.055259398,1056.59778,202.8,86.1,209.000002,
9,11.72426115,Si1,0.979558603,PU,1.792544549,1.623291119,0,372.9499349,284.6447206,0.001419783,0.055293783,1056.003534,201.1,86.3,207.000002,
10,14.33342771,Si1,0.838805769,PU,2.558720681,1.25260745,1,407.9415255,579.5393722,-0.001745929,0.038759618,1243.290052,198.000002,96.3,198.000002,
11,9.862887473,Si1,1.050109958,PU,2.187092268,1.207612589,0,338.2836615,283.7557834,0.001661956,0.055290981,895.8691228,182.8,79.6,188.000002,
12,9.863695151,Si1,1.002064456,PU,2.426117063,1.489334994,1,341.2119564,1033.204349,0.000712328,0.041077553,906.2711446,181.000002,79.3,181.000002,
13,9.761660415,Si1,0.917111609,PU,2.85132848,1.945996659,1,347.1452712,891.5018353,0.00305359,0.037817532,915.7190062,183.000002,78.5,183.000002,
14,15.96528394,Si1,1.017758372,PU,1.394411448,0.624424939,0,423.002533,276.9758846,0.000389982,0.05504874,1382.754458,233.5,104.4,241.000002,
15,13.94784998,Si1,0.682728863,Si1,2.188335245,2.492297994,1,409.1073466,552.693576,0.002376824,0.039047819,1195.247137,201.000002,95,201.000002,
16,11.82582415,Si1,0.99203886,PU,1.418649653,2.282452322,1,379.1823606,923.2799926,0.00716239,0.036957932,1058.941981,200.000002,88.2,200.000002,
17,9.77629578,Si1,0.923469719,PU,2.885109932,2.24815933,0,347.8654742,284.5476631,0.001646803,0.055275128,909.8975737,185.5,78.7,191.000002,
18,14.43332764,Si1,0.712429389,Si1,2.465954833,0.687783121,0,399.0039012,280.7019616,-0.000351683,0.055181294,1204.605705,218.2,97.2,226.000002,
19,14.33779141,Si1,0.633932594,Si1,2.598373073,0.533939186,0,398.9760095,283.3878973,0.002445063,0.055344285,1206.343097,211.7,96,219.000002,
20,8.012492482,Si1,0.256270076,PU,1.258800718,2.126281011,1,448.1583535,826.7926205,-0.000191162,0.014337169,954.3541432,84.000002,68,84.000002,
21,8.070334292,Si1,0.751612511,Si1,1.354690932,2.078605857,1,345.0640369,864.8839803,-0.000192608,0.047959454,848.2726789,124.000002,73.7,124.000002,
1,14.03226112,Si1,0.954224633,Si1,1.21572256,0.967984772,1,399.7192977,891.4304548,0.023574299,0.036557246,1158.326282,191.000002,90.1,191.000002,Itr_8
2,11.75426893,Si1,0.91587773,PU,2.152722762,1.392669624,0,373.8984396,283.0519679,0.001423534,0.055366552,1061.304198,199.6,85.4,206.000002,
4,15.24633975,Si1,0.910531512,Si1,1.463366558,1.373145988,1,418.0382844,812.9195861,0.000372009,0.036828842,1295.764425,220.000002,103.5,220.000002,
5,13.00074572,Si1,0.939004886,Si1,1.340860554,1.20689841,0,386.8411242,283.0511687,0.000315869,0.055230573,1135.771724,213.3,93.3,220.000002,
6,10.60631365,Si1,0.598487654,Si1,2.766931654,2.489754529,1,366.2441837,967.282026,0.000768023,0.032000969,992.9782563,182.000002,81.4,182.000002,
7,14.72304427,Si1,0.907644941,Si1,1.489350618,1.680039172,1,413.183529,600.0279922,-0.003948186,0.036969378,1250.430186,218.000002,101,218.000002,
8,11.19584821,Si1,1.138306485,PU,1.19352063,1.101337574,1,355.2305031,878.4072639,0.002436716,0.044673131,958.9603058,165.000002,78.8,165.000002,
9,12.60503714,Si1,0.960304069,Si1,1.298758358,1.018881925,0,380.1574881,284.2573751,0.000305976,0.055287833,1057.761295,202.4,85.9,209.000002,
10,8.837589081,Si1,1.030343863,PU,2.599167386,0.888989149,1,322.467338,991.8764916,0.00021179,0.044687637,839.2399839,170.000002,74.5,170.000002,
11,10.62329005,Si1,1.142768229,PU,1.290076618,1.618047571,1,350.3519033,835.8063458,0.005897942,0.04333705,925.0187065,166.000002,76.2,166.000002,
12,9.435059439,Si1,1.035957748,PU,2.432253937,0.96367779,1,330.9153861,546.0877509,0.004307804,0.041037497,871.3626368,169.000002,78.1,169.000002,
13,8.307366891,Si1,0.950413249,Si1,2.320618981,0.554508085,0,310.8971909,284.520527,0.000198534,0.055346261,811.0614462,170.6,73.4,175.000002,
14,8.152773061,Si1,0.989484054,PU,2.538888792,2.42792588,1,326.1179139,1054.918728,-0.000194669,0.04418992,807.9318499,161.000002,72.7,161.000002,
15,15.96200989,Si1,1.01543988,PU,1.574883442,1.627362512,1,423.3795108,519.4383289,0.002729302,0.037040524,1382.168338,239.000002,105,239.000002,
16,13.84254575,Si1,0.914958172,PU,2.168490896,2.270124882,1,406.8681537,871.3055437,-0.031332979,0.029985324,1210.071297,232.000002,94.6,232.000002,
17,11.9784753,Si1,0.63087922,Si1,2.245515586,2.360492096,1,387.2393553,518.208027,-0.031063371,0.035708361,1084.967134,200.000002,85.6,200.000002,
18,9.9435552,Si1,0.799730943,Si1,2.485025519,2.324614059,0,348.7812062,281.6931013,0.002154951,0.055285485,917.4245245,193.2,80.1,200.000002,
19,10.2941012,Si1,0.884978666,Si1,2.111963523,1.094748462,0,343.3740657,282.6708812,0.001737418,0.055300478,927.893805,192.7,81.5,198.000002,
20,14.15561101,Si1,1.085849822,PU,1.172209894,2.340136276,1,406.1364586,535.7532937,-0.00034474,0.038955648,1172.9732,184.000002,90,184.000002,
21,15.82165104,Si1,0.259695246,PU,1.10153647,2.190873055,1,459.9926058,885.560584,0.005795869,0.050617254,1593.115847,105.000002,82.9,105.000002,
22,10.58033962,Si1,0.340734264,PU,1.912158468,1.748416572,1,393.2585893,892.5177926,0.000255359,0.049284191,1096.263529,97.000002,78.6,97.000002,
1,15.15863707,Si1,0.92460388,Si1,1.250825532,0.887595092,1,413.1859117,811.8667457,-0.000369816,0.036611784,1244.045982,198.000002,94.9,198.000002,Itr_9
2,15.96834886,Si1,0.710169232,PU,2.677128122,0.718077015,0,430.9544662,280.3011919,-0.000390059,0.055054113,1386.206034,233.3,101.5,241.000002,
3,11.64648399,Si1,0.484018125,Si1,2.976629057,2.422048373,1,383.3914148,625.5220184,0.027919198,0.036379561,1069.91057,183.000002,83.1,183.000002,
4,14.41908688,Si1,0.902044186,PU,2.393046914,2.05786954,0,410.0523427,284.9392746,0.000351327,0.055153526,1244.273702,234.4,97.1,242.000002,
5,13.67186267,Si1,1.015216031,PU,1.311608347,0.562088597,0,392.8515884,281.9807384,-0.000332647,0.05535966,1205.205474,206.9,95.5,213.000002,
6,14.44823042,Si1,0.987071296,PU,1.649336106,1.139966431,1,405.937385,840.4732763,-0.005984948,0.033445296,1269.911959,208.000002,96.6,208.000002,
7,14.53678928,Si1,1.059803926,PU,1.430757818,2.059526533,1,410.2949705,630.7703487,-0.001062809,0.031530008,1244.413506,226.000002,100.4,226.000002,
8,10.49170679,Si1,0.834169191,Si1,2.077173302,0.721553432,1,346.5129446,804.734847,0.000759428,0.038224555,951.762255,186.000002,82.1,186.000002,
9,9.987304294,Si1,1.074575313,PU,1.703104426,2.321318427,1,346.3675406,551.822067,0.004570118,0.042574253,910.9582091,172.000002,81.1,172.000002,
10,11.83616723,Si1,0.770141714,Si1,1.786493522,1.590350947,1,378.5458757,604.5016769,0.034123747,0.03641778,1062.896257,195.000002,86.9,195.000002,
11,11.05565623,Si1,0.794074276,PU,2.93864961,2.380834766,1,371.6858358,850.3142268,0.000267242,0.032870705,1020.856371,196.000002,83,196.000002,
12,9.725647314,Si1,0.878922218,Si1,2.135299117,1.042618334,0,337.7329298,319.3486304,0.002105921,0.055360968,893.7178523,190.8,79,205.000002,
13,8.218841451,Si1,1.253765864,PU,1.201975531,1.961572408,0,307.6474455,277.4424787,-0.000588963,0.055431261,763.761698,156.5,72.5,201.000002,
14,15.87015665,Si1,0.978849399,PU,2.883515001,2.421138625,0,414.7255417,277.2706004,-0.000387604,0.055269884,1290.446719,267,103.4,275.000002,
15,13.96539718,Si1,0.890890976,PU,2.991278084,1.503281569,0,399.2490011,282.3146827,-0.000339985,0.055288785,1184.496572,224.8,95.3,232.000002,
16,11.79053321,Si1,0.808545311,PU,2.404299454,2.456337628,0,386.1228021,283.6891568,0.00257052,0.055168879,1085.219794,206.3,85.4,213.000002,
17,9.908754468,Si1,0.730808981,Si1,2.980508764,1.670106243,0,344.8321566,284.5725508,0.002147119,0.055423975,926.3554782,191.3,79.5,197.000002,
18,9.836657719,Si1,1.108612618,PU,2.204215875,1.279598045,0,334.7728775,281.0759268,-0.0007103,0.055451681,880.5842507,184.6,79.5,189.000002,
19,11.41628896,Si1,1.198467574,PU,1.203659846,1.148188405,0,355.9401115,283.4843523,0.001381286,0.055375723,957.5596656,187.3,80.1,193.000002,
20,15.88108407,Si1,0.270000098,PU,1.119999024,1.658829271,1,464.4893997,974.473968,0.001163631,0.049260379,1590.982582,106.000002,82.8,106.000002,
21,9.77814383,Si1,1.333352246,Si1,2.398846812,1.224430741,0,305.3176695,265.1153934,0.001647125,0.05528051,801.1013154,203.7,80.2,209.000002,
1,14.40609943,Si1,0.742769962,PU,2.920808616,0.945744113,0,412.948564,283.4392201,-0.002457018,0.055128195,1246.951864,222.9,95.7,230.000002,Itr_10
2,13.28349181,Si1,0.792468517,PU,2.850551595,0.51534455,0,392.0602372,280.7312661,0.000322937,0.055199671,1158.170516,201.1,92,208.000002,
3,10.71460622,Si1,0.954688051,PU,2.931518692,0.581247535,0,345.1265789,281.9388238,0.002328437,0.055432532,951.7113784,190.9,82.6,197.000002,
4,10.4316346,Si1,0.96915482,PU,2.930736215,0.629930466,0,340.7873457,282.1771952,-0.002264767,0.055430483,922.058769,189.1,81.6,195.000002,
5,14.25159282,Si1,0.769574879,PU,2.79595951,1.089323945,1,409.610728,602.6982605,-0.003818537,0.039921071,1241.171034,190.000002,95.3,190.000002,
6,10.3369511,Si1,0.991922922,PU,2.718019685,0.503354505,0,337.5919873,284.9493825,0.002243464,0.055419386,922.3238982,186.4,80.8,192.000002,
7,8.645609897,Si1,1.201175531,PU,1.202616741,1.121623362,0,308.5875426,280.9449423,0.00020699,0.055279703,776.4860182,154.5,70.1,159.000002,
8,14.41492781,Si1,0.759148724,PU,2.76629211,0.813388979,0,410.598938,284.6476347,0.000351223,0.055145414,1251.738976,215.7,96,223.000002,
9,9.619677132,Si1,1.202696212,PU,1.106500713,1.369138947,1,327.1548721,586.5099454,-0.001619394,0.044649006,844.826249,153.000002,73.2,153.000002,
10,10.02548183,Si1,1.157714529,PU,1.21139789,1.901949888,1,341.8780551,920.9418195,-0.001207435,0.044675095,887.4017151,153.000002,74.7,153.000002,
11,14.09846015,Si1,0.780137156,PU,2.789552306,1.5699105,1,409.7331766,914.2850916,0.000343312,0.033987839,1229.590209,201.000002,94.8,201.000002,
12,8.11230088,Si1,1.01178229,PU,2.985888453,1.66473438,0,318.8813043,282.8428235,0.001355603,0.055443023,798.9237722,166.3,72.4,170.000002,
13,15.99147227,Si1,1.173755249,PU,1.142008427,1.151078649,0,415.3959697,281.8321176,-0.000390637,0.055094573,1279.471843,233.7,96.4,241.000002,
14,13.91456788,Si1,0.656303257,Si1,2.42658065,2.106167791,1,404.3425248,526.5238231,0.000338714,0.032855282,1189.359535,219.000002,94.6,219.000002,
15,11.84296028,Si1,0.594245131,Si1,2.556571599,2.181878428,1,383.1402631,576.6980546,-0.043325524,0.031274716,1069.488704,218.000002,84.9,218.000002,
16,9.768419747,Si1,0.786411902,Si1,2.108413685,2.4301955,1,351.8920646,875.5778033,0.000705182,0.041135588,922.5265382,173.000002,79.2,173.000002,
19,11.62571913,Si1,0.94931189,PU,2.992589617,0.575382698,0,356.7512728,279.4850168,0.001407465,0.055336312,1004.47555,196.6,85.6,203.000002,
20,11.10307209,Si1,1.876189312,PU,2.447594136,1.214296532,0,299.506017,250.012686,0.000268427,0.055397955,787.5158008,223.7,87.1,231.000002,
